NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,F8,BOLSA,FECHA
20,2424,3,5,1,1,4,4,2,3,303000,18/08/2022
20,2423,2,5,1,1,2,4,2,4,302000,16/08/2022
20,2422,4,3,2,5,2,4,1,3,301000,13/08/2022
20,2421,3,2,4,4,5,2,4,3,300000,11/08/2022
20,2420,4,3,5,1,1,2,4,1,300000,09/08/2022
20,2419,5,1,5,1,4,4,5,5,301000,06/08/2022
20,2418,1,1,5,1,2,5,1,4,300000,04/08/2022
20,2417,3,3,3,4,2,5,1,1,300000,02/08/2022
20,2416,2,1,1,2,2,2,3,4,335000,30/07/2022
20,2415,1,1,3,1,3,4,1,1,304000,28/07/2022
20,2414,2,1,4,2,3,2,4,5,303000,26/07/2022
20,2413,2,4,4,3,3,1,5,3,302000,23/07/2022
20,2412,5,4,2,1,4,2,5,5,301000,21/07/2022
20,2411,2,5,3,1,4,5,5,1,300000,19/07/2022
20,2410,5,3,3,2,4,2,3,3,302000,16/07/2022
20,2409,5,3,2,1,2,4,5,1,301000,14/07/2022
20,2408,1,3,2,3,3,2,5,1,300000,12/07/2022
20,2407,2,5,4,1,4,1,1,2,580000,09/07/2022
20,2406,1,1,1,3,5,2,1,4,507000,07/07/2022
20,2405,1,2,3,1,3,1,1,1,445000,05/07/2022
20,2404,5,2,4,5,2,1,3,5,383000,02/07/2022
20,2403,1,5,4,5,2,4,1,1,305000,30/06/2022
20,2402,5,2,4,3,1,2,3,4,304000,28/06/2022
20,2401,2,1,5,5,1,2,3,3,303000,25/06/2022
20,2400,1,3,1,1,5,3,5,1,302000,23/06/2022
20,2399,2,3,3,4,5,4,4,5,301000,21/06/2022
20,2398,1,2,5,5,5,1,2,5,300000,18/06/2022
20,2397,1,2,4,1,1,5,3,2,301000,16/06/2022
20,2396,4,3,3,3,1,3,4,1,300000,14/06/2022
20,2395,4,5,5,4,1,1,4,5,302000,11/06/2022
20,2394,2,4,1,2,4,5,2,1,301000,09/06/2022
20,2393,3,3,5,4,1,2,2,4,300000,07/06/2022
20,2392,4,4,4,5,3,5,5,5,300000,04/06/2022
20,2391,3,5,5,3,5,5,3,1,300000,02/06/2022
20,2390,3,3,5,4,5,1,4,5,510000,31/05/2022
20,2389,1,2,1,3,1,1,3,3,450000,28/05/2022
20,2388,4,2,4,3,1,5,3,1,395000,26/05/2022
20,2387,5,2,5,3,3,1,3,2,340000,24/05/2022
20,2386,3,1,2,4,4,3,2,2,304000,21/05/2022
20,2385,5,5,2,5,2,2,5,2,303000,19/05/2022
20,2384,1,2,5,5,5,3,4,3,302000,17/05/2022
20,2383,1,3,2,5,5,4,4,2,301000,14/05/2022
20,2382,5,5,5,5,5,5,5,1,300000,12/05/2022
20,2381,2,4,1,3,2,1,1,4,302000,10/05/2022
20,2380,2,4,4,1,1,2,5,2,301000,07/05/2022
20,2379,2,1,3,3,3,5,3,4,300000,05/05/2022
20,2378,5,1,4,2,4,4,1,5,715000,03/05/2022
20,2377,2,1,3,2,2,2,2,4,640000,30/04/2022
20,2376,2,5,2,5,5,1,5,4,573000,28/04/2022
20,2375,1,5,3,5,5,2,1,3,510000,26/04/2022
20,2374,1,4,5,4,4,1,3,3,447000,23/04/2022
20,2373,4,5,3,4,3,2,1,1,385000,21/04/2022
20,2372,4,3,5,1,3,1,1,5,330000,19/04/2022
20,2371,5,3,3,2,5,2,3,3,304000,16/04/2022
20,2370,2,1,2,5,3,4,3,3,303000,14/04/2022
20,2369,2,5,1,2,3,3,5,2,302000,12/04/2022
20,2368,3,3,5,3,2,1,5,5,301000,09/04/2022
20,2367,3,5,5,4,4,2,4,5,300000,07/04/2022
20,2366,1,2,4,4,3,3,3,2,490000,05/04/2022
20,2365,1,1,5,5,5,5,2,2,410000,02/04/2022
20,2364,2,4,2,1,3,5,1,3,357000,31/03/2022
20,2363,3,2,2,1,3,1,5,4,304000,29/03/2022
20,2362,1,3,5,4,5,4,3,3,303000,26/03/2022
20,2361,1,2,1,2,1,1,4,1,302000,24/03/2022
20,2360,5,3,2,3,1,4,1,2,301000,22/03/2022
20,2359,5,3,4,4,2,5,1,1,300000,19/03/2022
20,2358,5,1,2,1,1,4,5,5,447000,17/03/2022
20,2357,5,1,1,3,2,5,3,4,385000,15/03/2022
20,2356,5,4,4,5,5,5,3,5,320000,12/03/2022
20,2355,4,5,2,4,3,3,2,1,303000,10/03/2022
20,2354,4,3,4,4,3,5,3,4,302000,08/03/2022
20,2353,4,2,5,3,5,5,5,1,301000,05/03/2022
20,2352,1,3,4,3,1,5,5,2,300000,03/03/2022
20,2351,2,2,3,1,3,4,2,2,1385000,01/03/2022
20,2350,1,4,1,1,4,2,4,4,1260000,26/02/2022
20,2349,2,5,3,3,5,5,1,3,1147000,24/02/2022
20,2348,4,4,3,2,1,4,5,4,1030000,22/02/2022
20,2347,5,1,5,3,4,4,5,1,939000,19/02/2022
20,2346,2,4,1,4,5,2,1,2,849000,17/02/2022
20,2345,4,3,2,1,1,4,4,2,760000,15/02/2022
20,2344,5,1,5,4,4,2,5,2,683000,12/02/2022
20,2343,2,2,2,5,2,1,4,1,610000,10/02/2022
20,2342,4,1,3,3,3,3,5,1,545000,08/02/2022
20,2341,2,1,5,1,1,4,2,1,479000,05/02/2022
20,2340,5,4,5,2,2,1,2,2,413000,03/02/2022
20,2339,1,4,4,1,2,5,1,4,347000,01/02/2022
20,2338,3,2,3,3,4,4,3,2,304000,29/01/2022
20,2337,5,4,3,2,5,5,3,1,303000,27/01/2022
20,2336,4,1,3,3,3,1,1,2,302000,25/01/2022
20,2335,4,2,2,3,2,5,4,1,301000,22/01/2022
20,2334,5,2,2,5,5,1,5,5,300000,20/01/2022
20,2333,3,1,3,4,4,3,2,3,423000,18/01/2022
20,2332,2,1,3,2,3,2,5,5,359000,15/01/2022
20,2331,3,3,2,1,5,1,4,4,304000,13/01/2022
20,2330,4,4,3,5,4,2,2,5,303000,11/01/2022
20,2329,1,2,5,2,1,3,2,2,302000,08/01/2022
20,2328,3,1,2,5,2,1,4,3,301000,06/01/2022
20,2327,1,1,5,1,2,3,4,1,300000,04/01/2022
20,2326,2,3,2,4,4,5,3,2,303000,01/01/2022
20,2325,4,5,5,5,2,3,2,3,302000,30/12/2021
20,2324,5,4,3,3,3,3,3,1,301000,28/12/2021
20,2323,2,5,1,1,1,5,4,3,300000,25/12/2021
20,2322,2,2,5,3,1,1,1,5,417000,23/12/2021
20,2321,4,1,3,2,1,2,5,5,373000,21/12/2021
20,2320,1,1,1,2,3,5,3,1,307000,18/12/2021
20,2319,2,5,3,4,5,3,3,4,303000,16/12/2021
20,2318,3,1,3,5,3,3,1,4,302000,14/12/2021
20,2317,3,5,3,2,2,4,5,2,301000,11/12/2021
20,2316,1,1,3,2,5,1,4,5,300000,09/12/2021
20,2315,3,3,5,3,4,5,4,3,910000,07/12/2021
20,2314,2,5,4,2,5,3,5,1,827000,04/12/2021
20,2313,1,2,4,3,2,4,4,4,735000,02/12/2021
20,2312,5,5,3,1,2,1,1,1,660000,30/11/2021
20,2311,5,1,2,5,4,3,1,3,587000,27/11/2021
20,2310,2,1,4,4,4,4,2,2,527000,25/11/2021
20,2309,1,5,3,4,4,1,4,4,467000,23/11/2021
20,2308,1,5,4,3,5,1,3,5,405000,20/11/2021
20,2307,4,1,1,5,4,3,3,4,343000,18/11/2021
20,2306,4,2,4,3,4,3,3,3,304000,16/11/2021
20,2305,4,2,2,1,5,1,2,3,303000,13/11/2021
20,2304,3,4,1,3,2,3,4,1,302000,11/11/2021
20,2303,4,3,4,4,2,2,1,1,301000,09/11/2021
20,2302,5,3,3,1,3,4,3,2,300000,06/11/2021
20,2301,4,4,3,3,4,5,2,4,304000,04/11/2021
20,2300,5,2,3,1,1,1,2,2,303000,02/11/2021
20,2299,2,5,1,2,5,3,5,3,302000,30/10/2021
20,2298,3,5,3,4,4,4,3,3,301000,28/10/2021
20,2297,5,5,5,2,5,2,5,1,300000,26/10/2021
20,2296,4,1,1,1,3,4,1,5,809000,23/10/2021
20,2295,3,5,5,2,3,5,3,1,730000,21/10/2021
20,2294,4,3,4,3,5,3,4,2,657000,19/10/2021
20,2293,1,4,5,2,2,1,4,1,585000,16/10/2021
20,2292,2,1,4,1,1,4,3,4,517000,14/10/2021
20,2291,3,4,1,1,2,3,2,3,457000,12/10/2021
20,2290,4,2,4,4,2,4,5,4,403000,09/10/2021
20,2289,5,3,3,4,3,4,4,5,345000,07/10/2021
20,2288,1,5,2,1,2,5,2,1,304000,05/10/2021
20,2287,4,3,5,3,3,4,1,4,303000,02/10/2021
20,2286,3,3,2,5,3,1,2,4,302000,30/09/2021
20,2285,2,4,1,4,1,2,5,2,301000,28/09/2021
20,2284,2,4,5,5,4,5,2,5,300000,25/09/2021
20,2283,3,5,4,3,1,3,4,2,345000,23/09/2021
20,2282,1,4,2,5,5,4,4,2,304000,21/09/2021
20,2281,2,5,2,4,5,4,1,1,303000,18/09/2021
20,2280,1,5,2,5,5,1,1,3,302000,16/09/2021
20,2279,5,3,1,2,5,4,1,1,301000,14/09/2021
20,2278,3,5,2,5,4,1,1,3,300000,11/09/2021
20,2277,5,1,3,1,5,5,3,2,1300000,09/09/2021
20,2276,3,3,3,1,4,3,1,5,1170000,07/09/2021
20,2275,2,3,5,4,3,5,2,3,1070000,04/09/2021
20,2274,2,5,5,2,2,1,1,5,977000,02/09/2021
20,2273,2,1,3,4,1,4,2,1,887000,31/08/2021
20,2272,2,2,5,2,5,1,1,1,810000,28/08/2021
20,2271,3,1,1,5,2,4,1,1,727000,26/08/2021
20,2270,5,5,1,3,3,4,4,1,655000,24/08/2021
20,2269,3,4,1,3,4,3,1,1,560000,21/08/2021
20,2268,4,4,2,3,3,1,2,4,533000,19/08/2021
20,2267,1,2,4,4,4,3,4,3,473000,17/08/2021
20,2266,4,3,3,5,3,4,5,1,417000,14/08/2021
20,2265,5,5,3,4,1,5,1,2,365000,12/08/2021
